Original Text,Translated to English,Topic
Works perfectly fine.,Works perfectly fine.,opinion
Cualquier,Any,nothing
No,No,nothing
no,no,nothing
"Na ten moment jeszcze nie, ale z pewnością jest wiele rzeczy, które można zrobić lepiej.","At the moment not yet, but there are certainly many things that can be done better.",nothing
Food 👍like,Food 👍like,opinion
nein,no,nothing
"nemam, pošto mi je prvi put ne mogu dati prijedloge jer mi je nepoznato","I have no, since the first time I cannot give me suggestions because I am unknown to me",suggestion
Nu,Not,nothing
nao,them,nothing
Merci,THANKS,nothing
"je découvre, pas encore d'avis","I discover, no opinion yet",opinion
Nie,NO,nothing
Nu,Not,nothing
nan,Na,nothing
As dori ca și Consiliul internațional pentru discriminare să facă o metodă mai simplă de contact,I would like the International Discrimination Council to make a simpler way of contact,opinion
"Čím méně tím lépe. Méně rady EU, snížení rychlosti prosazování především politických rozhodnutí. Jakákoliv změna ve společnosti má svůj čas. Lidé mají daleko více životních zkušeností ve věku nad 50 let. Mladší nemají často žádné zkušenosti (jen vzdělání nestačí), ale plno plánů a vše rychle. Proto čím méně a s rozumnou rychlostí, tím lépe - lidé to postupně mohou vstřebat a najít ty pozitivní myšlenky navrhovaných změn. V současnosti je vše v EU až zbrklé. Velmi často úsměvné i smutné. Důkladně vše probírejte, jinak to vypadá, že tady vyrůstá nová totalita. Prožil jsem od roku 1945 různé politické systémy, ale ten současný mi připomíná diktaturu, ne socialismu, ale kapitálu. Především od bývalých koloniálních a otrokářských zemí - nebo i současných ? Kdo ovládá EU? Za vším jsou peníze, je jen jediná země, která na konfliktu Rusko-Ukrajina vydělává. To musíte vědět i Vy. Přeji Vám v této současné smutné době ( dvou válek), aby jste našli takovou odvahu jako před lety prezidenti Kenedy a Chruščov při karibské krizi. Nedaly na generály, kteří chtěli samozřejmě boj na obou stranách a domluvili mír. Jen ti dva. To je vzor státnické politiky a ne ti současní, kteří hájí pouze své vlastní zájmy. Viz náš prezident, který celý život byl voják a připraven válčit. Obzvlášť v politice a nadhledu nemá žádné zkušenosti a je to bohužel vidět téměř na každém jeho vystoupení. Stydím se za něj a je mi z toho smutno. Přesto vše fandím EU, doufám, že nedopustíte totalitu kapitálu. To je ale už na Vás mladých.","The less the better. Less EU Council, reducing the speed of promotion, especially political decisions. Any change in society has its time. People have far more life experience over 50 years of age. Younger often have no experience (only education is not enough), but many plans and everything quickly. Therefore, the less and with a reasonable speed, the better - people can gradually absorb it and find the positive thoughts of the proposed changes. Currently, everything in the EU is rash. Very often funny and sad. Thoroughly discuss everything, otherwise it looks like a new totalitarianism is growing up here. I have spent various political systems since 1945, but the current one reminds me of dictatorship, not socialism, but capital. Especially from former colonial and slave countries - or even contemporary? Who controls the EU? For everything is money, there is only one country that earns Russian-Ukraine conflict. You must know that. I wish you in this current sad time (two wars) to find such a courage as President Kena and Khrushchev in the Caribbean crisis years ago. They did not give the generals who wanted to fight on both sides of course and arranged peace. Only the two. This is a model of state policy and not the current ones who only defend their own interests. See our president, who has been a soldier and ready to fight all his life. Especially in politics and perspective, he has no experience and unfortunately it is visible at almost every performance. I'm ashamed of him and I'm sad about it. Still, I support the EU, I hope that you will not allow the totalitarianism of capital. But this is already up to you young people.",opinion
"Plus de précisions, je comprends mal comment tomber sur le texte précis du Plan économique et d'investissement de l'UE dans les Balkans","More details, I hardly understand how to come across the precise text of the EU economic and investment plan in the Balkans",opinion
No,No,nothing
mehr Informationen,More information,information
None,None,nothing
more about facilties the EC offers to combat air pollition,more about facilties the EC offers to combat air pollition,opinion
INSERIRE UN DOCUMENTO CHE ATTESTI L'UFFICIALITA' DELLE CARATTERISTICHE DI GENUINITA' DEI DOCUMENTI ELENCATI E DESCRITTI NEL SITO. TALE DOCUMENTO E' UTILE DA PRODURRE DAVANTI AL GIUDICE PER ATTESTARE QUALI SONO LE CARATTERISTICHE DI UN DOCUMENTO AUTENTICO,Insert a document certifying the official of the features of genuine of the documents listed and described on the site. This document is useful to be produced before the judge to certify what are the characteristics of an authentic document,document
None,None,nothing
Nie,NO,nothing
Ich suchte die ZIELE der EU Administratur - ich fand Sie nicht.,I was looking for the goals of the EU administration - I didn't find them.,information
Voorlopig niet,Not any time soon,suggestion
"Like everything in life, the more one uses a new tool, the better they become at using it.","Like everything in life, the more one uses a new tool, the better they become at using it.",search engine
nu,not,nothing
"Nonprofessional users do not know in what location could be found the document, so it would be good to simplify search with more simple words from the text or subject of the document ( not name )","Nonprofessional users do not know in what location could be found the document, so it would be good to simplify search with more simple words from the text or subject of the document ( not name )",document
Inhalte kürzen,Shorten content,search engine
Komplett neue Architektur erforderlich und die Suchbegriffe müssen extrem ausgeweitet werden. So muss man exakt das Eingeben wie es auf der Seite heißt. sonst ist das ergebniss bullshit,Completely new architecture required and the search terms must be extended extremely. So you have to enter exactly what it says on the page. Otherwise the result is bullshit,search engine
"en la casilla de ``profesión´´, tendríais que añadir otras profesiones más ajustadas a la realidad o incluir trabajador por cuenta ajena, autónomo , etc para reflejar los tipos de trabajadores","In the `` profession´´ box, you would have to add other professions more adjusted to reality or include worker, autonomous, etc. to reflect the types of workers",document
no,no,nothing
Please see previous comment about including RSS feeds for all legislation progress search results pages. Thank you.,Please see previous comment about including RSS feeds for all legislation progress search results pages. Thank you.,search engine
Ka daro ar keicia ta Tarybos setaine as nesuprantu ko nori is manes ar musu?,What does the council do or do I don't understand what you want from me or our?,opinion
Nie,NO,nothing
Повече интерактивни материали за обучение.,More interactive training materials.,website
"Envio de novas informações, por área temática, quando colocadas no Portal","Sending new information, by thematic area, when placed on the portal",information
no,no,nothing
No,No,nothing
good,good,nothing
non,non,nothing
Nie mam.,I don't have.,nothing
"Have different views of the documents, e.g. a view grouped by document type for different countries","Have different views of the documents, e.g. a view grouped by document type for different countries",document
"Es befinden sich sehr viele Informationen in den Texten. Wenn man sich einen kurzen Überblick verschaffen möchte, muss man sehr viel lesen ...","There is a lot of information in the texts. If you want to get a brief overview, you have to read a lot ...",information
0,0,nothing
népszerűsíteni kellene,should be promoted,nothing
"Nimam pripomb - informacijo, ki sem jo iskala, sem dobila in sem zadovoljna.",I have no comments - I got the information I was looking for and I am pleased.,comment
Nein,No,nothing
Sobre los temas de las dictaduras deberían tener un apartado especial respecto a las sanciones del Consejo y saber quienes vitan a favor y quienes no. Un apartado de Monitoreo.,On the issues of dictatorships they should have a special section regarding the sanctions of the Council and know who vitan in favor and those who do not. A monitoring section.,opinion
"Well I helped dream up, encourage, and guide the World Economic Forum's website based on the centrifugal sphere and connections, and so to you I encourage to be bold and center yourself with website visualistics. I hear Baltic's have great web designers.","Well I helped dream up, encourage, and guide the World Economic Forum's website based on the centrifugal sphere and connections, and so to you I encourage to be bold and center yourself with website visualistics. I hear Baltic's have great web designers.",website
"Necesitamos más rapidez y agilidad para consultar las medidas, leyes, cambios o nuevos anexos en la política pesquera. Los capitanes de pesca estamos constantemente preocupados por las presiones que ejercen los inspectores de pesca. Debemos cumplir todos/as. Que sean de fácil acceso ayuda mucho en nuestros trabajo.","We need more speed and agility to consult the measures, laws, changes or new annexes in fishing policy. The fishing captains are constantly concerned about the pressures exerted by fishing inspectors. We must fulfill all. That they are easy to access a lot in our work.",opinion
Im Moment nicht,In the moment not,nothing
By giving guidelines and res,By giving guidelines and res,opinion
Hi hello,Hi hello,opinion
Nil,Nil,nothing
Vyhovuje mi vše co se zde nachází. Možná přidat fotografie které lze použít do prezentací ohledně EU,I like everything that is located here. Possible add photos that can be used in EU presentations,opinion
"wäre noch zu früh, da ist ja ersteinmal ihre umfrage gekommen","Would be too early, your survey came first",nothing
"Prévenir peut-être lors de l’atteinte d’une page en anglais : française presque AOC et inculte, je mourrai sans jamais lire parfaitement cette délicieuse langue comme l’italien hélas celle de ma famille maternelle. Mais je parviens à déchiffrer des informations après de nombreuses lectures et films exclusivement en VO ;o)","Perhaps warning when reaching a page in English: almost AOC and uncultivated French, I will die without ever reading this delicious language perfectly like the Italian unfortunately that of my maternal family. But I manage to decipher information after many readings and films exclusively in VO; o)",translation
Por enquanto não,Not for the time being,nothing
Nu,Not,nothing
keep offcial documents (passposts) update,keep offcial documents (passposts) update,document
per adesso no,not now,nothing
Nie,NO,nothing
"Nee, alleen belemmerde op hinderlijke wijze het verzoek om de enquête in te vullen het lezen van de gezochte informatie en het verzoek kwam dus te vroeg.","No, only obstructed the request in an annoying manner to fill in the survey. Reading the information searched and the request was therefore too early.",information
Nie,NO,nothing
No,No,nothing
Have simple information on important decisions in addition to the full decisions. The site should be easily readable to adolescents and people who try to find information quickly.,Have simple information on important decisions in addition to the full decisions. The site should be easily readable to adolescents and people who try to find information quickly.,information
"Excelente el contenido de la página. Por desgracia, no sabía de esta hasta hoy.","Excellent page content. Unfortunately, I didn't know this until today.",opinion
Previously I had discovered some discrepancies regarding the appearance and design in certain sub-pages.,Previously I had discovered some discrepancies regarding the appearance and design in certain sub-pages.,opinion
Inte för närvarande,Not at the moment,nothing
////,////,nothing
Więcej aktualnych informacji o krajach,More current information about countries,information
Pls give clearer directions as to criminal law issues.,Pls give clearer directions as to criminal law issues.,opinion
Warto by pomyśleć o podsumowaniu osiągniętych celów tak aby był widoczny progres w działalności UE.,It is worth thinking about summarizing the achieved goals so that there is a progress in the EU's activities.,opinion
větší objektivita,greater objectivity,information
no,no,nothing
Solo agradecer por la difusión de las actividades de la UE,Just thank the dissemination of EU activities,opinion
"Danke, soweit alles gut! Bestellsystem für Unterrichtsmaterialien bitte weiter ausbauen und neue Unterlagen entwerfen, sind sehr hilfreich im Unterricht!","Thank you, so far everything! Please further remove the order system for teaching materials and design new documents, are very helpful in class!",document
Ricevere notizie sull'emissione di nuovi documenti anche a livello mondiale.,Receive news on the issue of new documents also worldwide.,document
Más facilidad para poder traducir algunas noticias o documentos en español,More ease to translate some news or documents in Spanish,document
OUI,YES,nothing
"Not really, Its hard to become really user friendly while staying ''official'' looking at the same time, but maybe things such as ''most looked at'' website/document or something? idk lol + Summaries on long pages","Not really, Its hard to become really user friendly while staying ''official'' looking at the same time, but maybe things such as ''most looked at'' website/document or something? idk lol + Summaries on long pages",document
"ΌΧΙ, ΣΑΣ ΕΥΧΑΡΙΣΤΏ!","No, thank you!",nothing
Nie,NO,nothing
"Es wäre vorteilhaft, wenn offizielle Dokumente, vor einer Sitzung veröffentlicht werden würden, damit der Bürger Kenntnis erlangt, worüber gesprochen wird. Manche Dokumente sind überhaupt nicht verfügbar und werden Bürgern überhaupt nicht zur Verfügung gestellt, was das Vertrauen in die EU erheblich minimiert.","It would be advantageous if official documents were published before a session so that the citizen gets to know what is talked about. Some documents are not available at all and are not made available at all, which significantly minimizes trust in the EU.",document
-,-,nothing
Un buscador para facilitar el mapa y búsquedas rápidas,A search engine to facilitate rapid map and searches,search engine
Nie,NO,nothing
Kaj je to?,What is it?,nothing
za prędko by coś napisać na ten temat,too soon to write something about it,suggestion
"A mon avis , opinions en ligne puis conditions demandées en ce sens à suivre!!","In my opinion, online opinions then conditions requested in this sense to follow !!",opinion
DID NOT FIND INFO I NEEDED: CANTEENS TIMES AND MENUS,DID NOT FIND INFO I NEEDED: CANTEENS TIMES AND MENUS,opinion
Nicht wirklich.,Not really.,document
"Es wäre teilweise hilfreich, wenn man bestimmte Webseiten abonnieren könnte, damit man Emailbenachrichtigungen bekommt, wenn etwas aktualisiert wird. Oder ist diese Funktion bereits vorhanden?",It would be helpful if you could subscribe to certain websites so that you can get email notifications if something is updated. Or is this function already available?,email
no,no,nothing
"Jak - to nie ja. Że tak - owszem, nigdy dość.","Like - it's not me. That yes - yes, never enough.",opinion
"Have a thumbnail view of the documents, offer an initial language sélection, offer english when not available but not as default...","Have a thumbnail view of the documents, offer an initial language sélection, offer english when not available but not as default...",translation
No.,No.,nothing
Raczej nie,I don't think so,nothing
Nie,NO,nothing
Weiter,Further,nothing
"Tout le site est en français sauf la partie ""Faits marquants"" qui est en anglais","The whole site is in French except the ""significant facts"" part which is in English",opinion
Tak. Bardziej powszechny.,Yes. More common.,opinion
neturiu,I have no,nothing
incrementare notizie sul bilancio U.E. e delle singole Istituzioni Vorrei capire quanto riceve la U.E. e come spende. Quali sono i costi della sua struttura Come posso sapere quali sono i finanziamenti U.E. ai singoli Stati,Increase news on the U.E. budget and of the individual institutions I would like to understand how much the U.E. And how he spends. What are the costs of its structure how I can know what the U.E. to individual states,opinion
ninguna en especial,None especially,document
no,no,nothing
"I want to have detailed study about my report and this is the website that can be trusted so, I want it to be more detail in aspects of dates and information.","I want to have detailed study about my report and this is the website that can be trusted so, I want it to be more detail in aspects of dates and information.",website
Některé body na stránce nejdou rozkliknout.,Some points on the page do not click.,opinion
Nu stiu,I do not know,nothing
Facilitar más recursos,Facilitate more resources,opinion
None.,None.,nothing
"Infografiken besser kenntlich zeigen. Weniger Fokus auf was wann passiert ist, sondern eher Fokus auf was jetzt gültig ist. Alles andere ins Archiv","Show infographics better recognizable. Less focus on what happened when, but rather focus on what is now valid. Everything else in the archive",search engine
non,non,nothing
"It is good the EU makes modifying cookie preferences easy! Thank you. I'd rather not create an account; the style The Guardian uses is a good model. Most important, the more detail about the lives of people in the EU such as choices between taxes and social services and feelings about those choices is helpful for Americans to know. I want the EU to succeed!","It is good the EU makes modifying cookie preferences easy! Thank you. I'd rather not create an account; the style The Guardian uses is a good model. Most important, the more detail about the lives of people in the EU such as choices between taxes and social services and feelings about those choices is helpful for Americans to know. I want the EU to succeed!",opinion
Non,Non,nothing
No.,No.,nothing
Not at this time.,Not at this time.,nothing
Pas vraiment. Je ne l'utilise pas assez fréquemment pour avoir un véritable avis. Mais j'aime bien comme il est.,Not really. I do not use it frequently enough to have a real opinion. But I like how it is.,opinion
I think empower the website for the people use for the first time. Because on first impact Is scattershort. Once you get used to It. Everything becomes easier,I think empower the website for the people use for the first time. Because on first impact Is scattershort. Once you get used to It. Everything becomes easier,nothing
No,No,nothing
no,no,nothing
"Noch nicht, erster Besuch!","Not yet, first visit!",nothing
non pour première visite,No for first visit,nothing
Non merci.,No thanks.,nothing
apprezzo la semplicità d'uso e la grafica asciutta le informazioni che cerco sono presenti e si trovano con facilità (date e odg riunioni),I appreciate the simplicity of use and the dry graphics The information I am looking for is present and are easily found (dates and odg meetings),information
no,no,nothing
Nie,NO,nothing
ne,it is,nothing
Within the European Union's Neighborhood and Enlargement Policy; I hope that Arabic will be available as one of the languages of the site. Because it is the language of the southern neighboring countries (south of the Mediterranean Basin).,Within the European Union's Neighborhood and Enlargement Policy; I hope that Arabic will be available as one of the languages of the site. Because it is the language of the southern neighboring countries (south of the Mediterranean Basin).,translation
Yes i wopuld like to have more regular meetings with europe instead of the current ad hovc tory spparoach for whoever gets in governments after the next general election.I would like to see thrse tory far right backbenchers and vote lkavers like Fraage made to answer their crimes,Yes i wopuld like to have more regular meetings with europe instead of the current ad hovc tory spparoach for whoever gets in governments after the next general election.I would like to see thrse tory far right backbenchers and vote lkavers like Fraage made to answer their crimes,opinion
Please make all sanctions content as simple and straightforward as possible. Please elevate the visibility of the EU FAQ on Russian Sanctions!,Please make all sanctions content as simple and straightforward as possible. Please elevate the visibility of the EU FAQ on Russian Sanctions!,document
Deberia de darse mas a conocer.,It should be more known.,opinion
Goed zo,Well done,opinion
"I use PRADO often, and in many areas it is outdated. Would be great if it was updated more frequently","I use PRADO often, and in many areas it is outdated. Would be great if it was updated more frequently",opinion
"Recherche simplifiée, plus de vulgarisation","Simplified research, more popularization",website
No,No,nothing
Seek up-to-date copies of ID specimens for PRADO.,Seek up-to-date copies of ID specimens for PRADO.,document
Pas a ce moment,Not at this time,nothing
"It is interesting, in order to understand things beyond the common journalistic information. Thank you for the access and the links toward EUR LEX.","It is interesting, in order to understand things beyond the common journalistic information. Thank you for the access and the links toward EUR LEX.",information
inviando la mail all'interessato tradotto nella propria lingua,sending the email to the interested party translated into his own language,translation
"1. passports on prado need to be updated, specially india 2. north america driver licenses are limited, same as canada","1. passports on prado need to be updated, specially india 2. north america driver licenses are limited, same as canada",passport
"Ich finde es super, dass die Europäische Union so viele Informationen für alle bereitstellt, die immer verständlich und ausführlich sind.",I think it's great that the European Union provides so much information for everyone who is always understandable and detailed.,opinion
Noch nicht (erster Besuch),Not yet (first visit),nothing
In terms of the satisfaction survey - had to give 'average' response as I have not yet looked at the areas to be rated,In terms of the satisfaction survey - had to give 'average' response as I have not yet looked at the areas to be rated,website
Make it more user friendly. Look at other modern companies/major news outlets and how their websites work. Use the available examples from the internet to enhance and modernise all EU related web pages. Thank you,Make it more user friendly. Look at other modern companies/major news outlets and how their websites work. Use the available examples from the internet to enhance and modernise all EU related web pages. Thank you,website
x,x,nothing
"caricate i documenti attuali, perchè sono un po' datati, per es. la carta di identità del 2023.","upload the current documents, because they are a little dated, e.g. The identity card of 2023.",document
it is fine.,it is fine.,opinion
-,-,nothing
traduisez tout dans toutes les langues de l'Union avant publication d'un seul texte ou document. En favorisant une langue par rapport aux autres vous portez préjudice à tous les citoyens de l'Union qui ne maitrisent pas ou pas suffisamment cette langue. Cela nuit aux droits des citoyens.,Translate everything in all languages ​​of the Union before publication of a single text or document. By promoting a language in relation to others you prejudice all the citizens of the Union who do not master this language or not. This affects the rights of citizens.,translation
Sometimes it's difficult to find documents; I appreciate that there is a search function but if possible perhaps add a tab which lists (broadly) by subject matter,Sometimes it's difficult to find documents; I appreciate that there is a search function but if possible perhaps add a tab which lists (broadly) by subject matter,search engine
Traduction en Français des communiqués de presse,French translation of press releases,translation
"keep it simple, älkää tehkö jenkkihässäköitä. Ne on syvältä.","Keep it simple, don't make Yankee hits. They are deep.",information
Have a reduced text/simplified and or a infographic to mack clear/speed up understanding of a person(s) not fimilar to all the detail. (obviously including a note to sate it is simplified) I looked up the web site to find out the latest regarding F-gases.,Have a reduced text/simplified and or a infographic to mack clear/speed up understanding of a person(s) not fimilar to all the detail. (obviously including a note to sate it is simplified) I looked up the web site to find out the latest regarding F-gases.,opinion
No,No,nothing
Bei einer so großen und wichtigen Sache wie dem Europarat gibt es keine Barrierefreiheit?! Mich wundert zudem die anscheinend ausschließliche Verwendung des generischen Maskulinums. Zeitgemäß ist das nicht.,"With such a big and important thing as the Council of Europe, there is no accessibility?! I am also surprised by the apparently exclusive use of the generic masculine. This is not contemporary.",opinion
No. Everything looks good.,No. Everything looks good.,opinion
"Ναι αλλά ίσως ο χώρος εδώ να είναι περιορισμένος και η ""ανωνυμία"" σε συνδυασμό με την ,κατα τη γνώμη μου,ευρύτητα του αντικειμένου να απαιτεί καλύτερη δομή του ερωτηματολογίου (αίσθηση επισκέπτη Ευρωπαίου πολίτη ότι η γραφειοκρατική διαδικασία επεξεργασίας προτάσεων όχι μόνον για τον Ιστότοπο αλλά για όλα τα θέματα με την ΕΕ και τα Θεσμικά όργανά της να μην ""μπλοκάρουν"" την άμεση ανταπόκριση στα όποια ερωτήματα και παρατηρήσεις .","Yes but maybe the space here may be limited and the ""anonymity"" combined with, in my opinion, the extent of the object requires a better structure of the questionnaire (a visitor to a European citizen that the bureaucratic processing process not only for the site but For all issues with the EU and its institutions not to ""block"" the immediate response to any questions and observations.",opinion
Nie zaczynać informacji o Radzie od ankiety.,Do not start information about the council with a survey.,information
prado n'est pas à jour. Donc il n'est pas toujours simple de travailler avec cet outil,Prado is not up to date. So it is not always easy to work with this tool,document
"misschien is het handig om iets minder met 'plain text' te werken, maar ook visuele navigatie op de website te ondersteunen door verschillende inhoudelijke elementen in blokken te visualiseren.","Perhaps it is useful to work a little less with 'Plain Text', but also to support visual navigation on the website by visualizing different substantive elements in blocks.",website
nie,NO,nothing
No for now -,No for now -,nothing
οχι,no,nothing
"Dokumente, Pässe und ID-Card könnten besser mit den Beschreibungen und Erkenntnissen der EU-Länder verknüpft werden. Eine fließende Vergleichsmöglichkeit ist schwierig.","Documents, passes and ID card could be better linked to the descriptions and knowledge of the EU countries. A smooth comparison is difficult.",document
Többet kell tenni,More to do more,nothing
RAS,RAS,nothing
"Adding more information about COREPER meetings, for example.","Adding more information about COREPER meetings, for example.",information
"Cover more EU and outside of EU news. I'd like to read news from a trusted source not whaterver ""no-name"" newspaper or fascist social media ""creator"". Thanks","Cover more EU and outside of EU news. I'd like to read news from a trusted source not whaterver ""no-name"" newspaper or fascist social media ""creator"". Thanks",opinion
not on a first visit,not on a first visit,nothing
Zatiaľ nie,Not yet,nothing
"Ne, neturiu jokių pastabų","No, I have no comments",comment
"Nehéz kérdés. Esetleg nagyon rövid, kivonatos információk a napi sarkalatos témákban. Pl live tracking Magyarország jogállamisági kifogásokkal kapcsolatos lépésekről. Akár egy sima %-os mutató kirakása. Pl 37%-ban hoztak lépéseket + 8% mutattak be terveket amik megvalósításra várnak. A felületes szemlélők helyzetértékelését segítheti...","Difficult question. Perhaps very short, extractive information on daily cornerstones. Pl Live Tracking Hungary on the rule of law objections. Like a smooth %index. Pl 37% took steps + 8% were presented plans to be realized. Superficial observers can help assess the situation ...",information
"Yes, with the weaponisation of Neuroscience in developing brain warfare tactics. There ought to be more locations to securely and quickly provide tid-bits/lengthy reports on terrorist activities. It is better to have information archived which can later be used to reconstruct a time-line, than to reject offers based on... Lack of ?","Yes, with the weaponisation of Neuroscience in developing brain warfare tactics. There ought to be more locations to securely and quickly provide tid-bits/lengthy reports on terrorist activities. It is better to have information archived which can later be used to reconstruct a time-line, than to reject offers based on... Lack of ?",search engine
Never showed up in my search before. The article I read was very informative.,Never showed up in my search before. The article I read was very informative.,search engine
"Not yet used to visiting the site. Surprised it goes to English as default language, after Brexit it is odd... Will revert with suggestions!","Not yet used to visiting the site. Surprised it goes to English as default language, after Brexit it is odd... Will revert with suggestions!",translation
I have no comments for now but your information is valid even for countries that aren't part of the EU,I have no comments for now but your information is valid even for countries that aren't part of the EU,comment
nej inte ännu,no not yet,nothing
nan,,nothing
"Nu, nu am, site-ul Consiliului este destul de accesibil și util.","No, I don't have, the council's website is quite accessible and useful.",website
Nie mam opini,I have no opinion,opinion
yes,yes,nothing
Incluyan informacion relacionada con la situacion economica politica y social de los paises que integran la org.,Include information related to the political and social economic situation of the countries that make up the org.,information
možno viac spopularizovať stránku,Perhaps more popularize the page,opinion
Nog niet,Not yet,nothing
fiches thématiques et pédagogiques (multi)bilingues.,Thematic and educational (multi) bilingual sheets.,search engine
"Habe die Website für eine Präsentation genutzt und war sehr zufrieden und habe viele Informationen gefunden, die ich ansonsten nur mit viel Mühe gefunden hätte.",I used the website for a presentation and was very satisfied and found a lot of information that I would otherwise have found with a lot of effort.,website
No nothing yet,No nothing yet,nothing
Nie,NO,nothing
ne,it is,nothing
"Mr. Borrell's blog is really great and I appreciate access to his opinion. It means people know where he's coming from and this creates trust. I would if EU members states could get support for their Foreign Ministers' Website to have a website and blog just like the one Mr. Borrell has, with up to date with what's going on and then they can also have a direct link into the EEAS as well. Thank you","Mr. Borrell's blog is really great and I appreciate access to his opinion. It means people know where he's coming from and this creates trust. I would if EU members states could get support for their Foreign Ministers' Website to have a website and blog just like the one Mr. Borrell has, with up to date with what's going on and then they can also have a direct link into the EEAS as well. Thank you",website
Moins de javascript.,Less JavaScript.,opinion
"Större font på texten, jag tycker den är lite för liten.","Bigger font on the text, I think it's a little too small.",opinion
Tehdä siitä houkuttelevampi,Make it more attractive,opinion
Nein,No,nothing
NONE,NONE,nothing
Funkar fint som den är.,Works fine as it is.,opinion
Den här enkäten kom för snabbt. Jag hann knappt vara inne och få en uppfattning.,This survey came too fast. I barely had to be inside and get an idea.,website
Please give more useful links,Please give more useful links,opinion
"I realise that the materials (videos, specifically) are doubtless on YouTube, but having downloadable video files for teachers would be useful. Mainly because I do not use a VPN on my work laptop, and I would need to use a stream-ripper in order to display any of your videos in my classroom.","I realise that the materials (videos, specifically) are doubtless on YouTube, but having downloadable video files for teachers would be useful. Mainly because I do not use a VPN on my work laptop, and I would need to use a stream-ripper in order to display any of your videos in my classroom.",opinion
Am primit un mail sa platesc ca sa primesc bitcoint,I got an email to pay to receive bitcoch,email
I don´t know in this moment,I don´t know in this moment,nothing
Mettez plus en avant les recommandations du conseil par pays et expliquez clairement leur impact,Put more forward the advice recommendations by country and clearly explain their impact,document
Ne,It is,nothing
Alguna vinculación específica con los avances en los sistemas agrarios. Exportaciones e hidroponia.,Some specific link with advances in agricultural systems. Exports and Hydropony.,opinion
No,No,nothing
Documenten waarop besluiten berusten. Bvb onderzoeksresultaten (gelinkt),Documents on which decisions are based. Eg research results (linked),document
"Simplifier et ou représenter les paroles par les images, graphiques. Pour que cela plus compréhensif et accessible à tous","Simplify and or represent the lyrics by images, graphics. To make it more understanding and accessible to all",opinion
"Dokumenty głośne w telewizji, np pakt migracyjny powinien być łatwo dostępny.","Documents loud on television, e.g. a migration pact should be easily available.",document
Newsletter,Newsletter,website
nan,Na,nothing
Daug naudingos informacijos. Ačiū,A lot of useful information. Thank you,information
"využívám k dohledání pravosti čísel dokladu totožnosti, hodil by se nějaký filtr, kam bych číslo mohla pouze zadat a nechat si vyjet např. možné země, kde takový doklad může existovat","I use to find the authenticity of the identity documents, a filter would be useful where I could only enter the number and let, for example, a possible country where such a document can exist",document
În opinia mea funcționează bine,In my opinion it works well,opinion
habe noch keine Meinung bilden können,I haven't been able to form an opinion yet,opinion
Si,And,nothing
Passt,Fits,opinion
