Original Text,Translated in English,Topic
più facile da consultare per molti,easier to consult for many,ease of use
ça finit en anglais de toute manière!,It ends in English anyway!,language
"Kuna hetkel veel masinatõlge ei ole nii arenenud siis võib esineda vigu ja mõte võib kaduma minna. Seega mõju oleks see, et ma parem loeks inglisekeelset originaal dokumenti ja vajadusel tõlgiks ise.","As the machine translation is not so advanced at the moment, there may be errors and the idea may be lost. Thus, the impact would be that I better read the original English document and, if necessary, translate myself.",machine translation
Oikean termistön käyttäminen on todella tärkeää ja omat käännökset luovat epäselvyyksiä tai jopa vääriä tulkintoja.,Using the right terminology is really important and your own translations create ambiguity or even false interpretations.,human translation
Keinen,No,nothing
"erreur de traduction potentiel, pas de confiance","potential translation error, no confidence",human translation
Obviously any machine translation would lose some of the minutiae of what can only be captured by human translation...not to mention the lost jobs of translators.,Obviously any machine translation would lose some of the minutiae of what can only be captured by human translation...not to mention the lost jobs of translators.,machine translation
De ninguna manera,No way,nothing
Translators would become redundant… and I generally trust machine translated pages less.,Translators would become redundant… and I generally trust machine translated pages less.,reliability
La traduzione automatica è spesso inesatta e la lettura risulta sgradevole.,The automatic translation is often inaccurate and the reading is unpleasant.,human translation
"It will depends, but I have to try first","It will depends, but I have to try first",machine translation
"Is a matter of culture, not language","Is a matter of culture, not language",language
Lukisin alkuperäistä tekstiä luultavasti,I would read the original text probably,language
"Ich denke, ich wäre skeptisch, ob die Übersetzung wirklich den Ton treffen",I think I would be skeptical whether the translation really hit the sound,human translation
Grossen,Huge,ease of use
"I would find more content in my own language, Spanish. Many more users in all languages would also find it accessible and its use would greatly increase.","I would find more content in my own language, Spanish. Many more users in all languages would also find it accessible and its use would greatly increase.",content
mehr Arbeitslose,more unemployed,understanding
Di solito le traduzioni automatizzate sono molto poco piacevoli da leggere.,Usually automated translations are very little pleasant to read.,human translation
"Manque de fiabilité donc je ne le lirai que dans la langue originale si je la comprends. Dans le cas contraire, il y aurait un manque d information","Lack of reliability so I will only read it in the original language if I understand it. Otherwise, there would be a lack of information",information
"exemple: le mot ""climat"" si l'intelligence artificiele comptabilise le nb de fois que ce mot est utilisé pour établir une statistique .... et une opinion","Example: the word ""climate"" if artificial intelligence has the NB of times that this word is used to establish a statistic .... and an opinion",machine translation
A little time consuming,A little time consuming,machine translation
Sa više rezerve i skepse i provere,With multiple reserves and skepticisms and checks,content
IA ya lo sabe hacer mejor demas son tonterias,I already know how to do better others are nonsense,understanding
Nessuno,Nobody,quality
Przeinaczenia słów,Distortions,language
Ułatwiłoby korzystanie z portalu,Would facilitate the use of the portal,reliability
Les gens ont besoin de travailler pas les machines.,People need to work on machines.,machine translation
Muchos conceptos se perderian,Many concepts would be lost,ease of use
rapida interpretazione,rapid interpretation,understanding
Disfonctionnement du système d'interface au niveau de la traduction dans toutes les langues.,Disfunction of the interface system in terms of translation in all languages.,language
"Tłumaczenia na język polski automatyczne są tak robione że nie wiadomo o co chodzi. Jest zła odmiana wyrazów pomylone przypadki lic,by osoby","Translations into Polish are automatic so done that it is not known what is going on. There is a bad variety of words, confused cases of Lic to make people",human translation
Nem pontos,Not accurate,reliability
Minimal,Minimal,understanding
Unsicherheit ob nicht Maschinell Fehler bei der Übersetzung unterlaufen sind,Uncertainty whether errors in the translation are not machine,machine translation
Czasem maszyna tłumaczy w sposób niezrozumiały.,Sometimes the machine explains in an incomprehensible way.,machine translation
"Ich könnte Informationen schneller an regionale Adressaten weitergeben, ohne sie vorher selbst zu übersetzen.",I could pass on information to regional addressees faster without translating it myself beforehand.,information
Je la penserais moins fiable,I would think it less reliable,reliability
Better interpretation of possibilities and notices,Better interpretation of possibilities and notices,understanding
Je ne m'en servirais plus comme référence.,I would no longer use it as a reference.,information
dislike,dislike,nothing
"Aucune, je cherche simplement les documents et leurs formats","None, I'm just looking for the documents and their formats",ease of use
seria mas fácil y rápido,It would be easier and faster,ease of use
rapiditatea obținerii informației relevante,the speed of obtaining relevant information,information
die qualität entscheidet,The quality decides,quality
"Nie znam angielskiego, więc tłumaczenie maszynowe dokumentów ułatwiłoby szybki ich przegląd pod kątem wyszukiwania informacji","I do not know English, so the machine translation of documents would make it easier to review them in terms of information search",ease of use
"Falls die Qualität der maschinellen Übersetzung akzeptabel ist, sollte es keinen Einfluss haben. Jedoch könnte es passieren, dass man das Lesen als anstregend und nervend empfinden könnte, wenn die KI nicht gut übersetzt.","If the quality of the machine translation is acceptable, it should not have any influence. However, it could happen that reading could be found to be exhausting and annoying if the AI ​​does not translate well.",quality
keine,no,nothing
"Teria um impacto muito negativo, porque as traduções automáticas têm uma qualidade horrível. Acresce que no caso do português a tradução automática é frequentemente apresentada em português do Brasil, obrigando um falante de português de Portugal (o Estado que faz parte da União Europeia) a fazer uma tradução do português do Brasil","It would have a very negative impact, because automatic translations have a horrible quality. In addition, in the case of Portuguese automatic translation is often presented in Portuguese Portuguese, forcing a Portuguese speaker from Portugal (the state that is part of the European Union) to make a translation of Brazilian Portuguese",human translation
Das Vertrauen in die Qualität und Präzision der Übersetzungen würde schwinden.,Trust in the quality and precision of the translations would disappear.,quality
Modéré,Moderate,machine translation
A lot,A lot,nothing
Termes pour conclure et d'expression,Terms to conclude and expression,understanding
"strange feeling, like that I'm talking with tv, I need to be mush more personal even if a lot of efforts is neded....it is our Union","strange feeling, like that I'm talking with tv, I need to be mush more personal even if a lot of efforts is neded....it is our Union",language
En algunos casos me facilitaría el trabajo,In some cases I would facilitate the work,machine translation
I think it would be good for folowers,I think it would be good for folowers,understanding
Die englischen Inhalte erschließen sich schneller,The English content develops faster,content
"Negativně, strojový překlad může být necitlivý k cílovému jazyku","Negatively, machine translation may be insensitive to target language",machine translation
in bine,in good,nothing
"Non importa la lingua, lo puoi tradurre anche con google, quello che importa è la facilità di trovare le informazioni. Oggi le persone non hanno ne tempo ne pazienza","It doesn't matter the language, you can also translate it with Google, what matters is the ease of finding information. Today people have neither time nor patience",information
"nie lubię automatycznych tłumaczeń, bo nadal są niezbyt doskonałe, szczególnie jak słowo ma wiele odpowiedników","I don't like automatic translations, because they are still not very perfect, especially when the word has many counterparts",human translation
I wouldn't have the same confidence that all the technical terms would be correct.,I wouldn't have the same confidence that all the technical terms would be correct.,reliability
"Mniejsze zaufanie. Jestem filolożką, więc rozumiem jak wielkie znaczenie ma precyzja języka","Less trust. I am a philologist, so I understand how important language precision is",reliability
"Wäre wahrscheinlich viel schlechter zu lesen, da der Satzbau in unterschiedlichen Sprachen unterschiedlich ist und gängige Übersetzungsmaschinen (bspw. Google Translate) dies nicht berücksichtigen.","Would probably be much worse to read, since the sentence construction is different in different languages ​​and common translation machines (e.g. Google Translate) do not take this into account.",language
den kan bli fel i översättningen och på det sättet bli missinformation. Då blir sidan inte längre sann och jag kan inte använda den i min källhänvisning,It can be wrong in the translation and in this way become mission. Then the page will no longer become true and I cannot use it in my source reference,human translation
"Penso che una traduzione automatizzata non sia all'altezza della traduzione fatta da una persona. Pertanto, le informazioni potrebbero essere mal riportate","I think an automated translation is not up to the translation made by a person. Therefore, the information could be poorly reported",information
L'informatique prend le relais des traducteurs,Computers take over from translators,machine translation
Keinen,No,nothing
Leichte Einflüsse weil mann nicht immer weiß ob es richtig Übersetzt worden ist.,Slight influences because you don't always know if it has been translated correctly.,information
Früa woa ois bessa,FRüa Woa Ois Bessa,understanding
"In terms of declension and conjugation, and context given only by human perception would be gone.","In terms of declension and conjugation, and context given only by human perception would be gone.",machine translation
ar fi mai usor pentru cei care nu stapanesc foarte bine limba engleza,It would be easier for those who don't master English very well,ease of use
"No creo que la traducción fuera de calidad. Podría usarse como un primer paso, pero sería necesaria la supervisión de un humano.","I don't think the translation out of quality. It could be used as a first step, but a human supervision would be necessary.",quality
Ich würde die Informationen auf Englisch noch mal lesen. Um sicherzugehen,I would read the information in English again. To ensure,information
Μη ακριβής απόδοση,Non -accurate performance,language
rapidez no acesso aos conteúdos,speed in access to content,content
das wäre eine Frechheit KI zu benützen dann sich wir euch nicht lmal mehr eine Person die sich kümmert wert!,That would be a cheek to use AI then we will not be worth a person who takes care of you anymore!,information
Wenn möglich Kontrolle der übersetzten Texte bzw zumindest Sichtung des originalen Textes,If possible control of the translated texts or at least viewing the original text,language
I have not used sophisticated machine translation so far but it could provide too literal translation,I have not used sophisticated machine translation so far but it could provide too literal translation,human translation
Moderate,Moderate,machine translation
Grav. Traducerea automata făcută de roboți nu este corectă și nu are acuratețea celei făcute de o persoana.,Serious. The automatic translation made by robots is not correct and does not have the accuracy of the one made by a person.,human translation
"Si la traducción es correcta, no tendría que afectar en nada","If the translation is correct, it would not have to affect anything",human translation
Can't say,Can't say,nothing
Negativo,Negative,quality
Intr-un mod neplacut din lipsa promptitudinii si a adaptarii la limba,In an unpleasant way due to lack of promptness and adaptation to language,language
"Für mich keine, aber vielleicht für die, die das derzeit machen.","None for me, but maybe for those who are currently doing it.",information
Porozuměl bych jim nedokonale. Protože strojový překlad je nedokonalý.,I would understand them imperfectly. Because machine translation is imperfect.,machine translation
Negatively,Negatively,human translation
Non è una traduzione ma una interpretazione,It is not a translation but an interpretation,human translation
Die Übersetzung klappt nicht immer,The translation does not always work,human translation
Mehr Inhalte sind schneller zugänglich. Im Zweifelsfall sollte das Original einsehbar sein.,"More content is faster accessible. If in doubt, the original should be visible.",content
Kòigepealt peaksin siis masintõlkega kohtuma :),Then first I should meet a machine translation :),machine translation
"Según que palabras podrían cambiar el significado dependiendo de que traducción se haya echo. Pues debería haber una revisión de un humano en esas traducciones, aunque si esta en inglés puede ser más fácil de traducir para las personas de mi generación","According to what words could the meaning change depending on what translation has done. Well, there should be a review of a human in those translations, although if it is in English it can be easier to translate for the people of my generation",ease of use
"Minusta konekääntäminen ei sovi tapauksessa, jossa Eu kansalaisille pidetään virallisia tiedotuksia. Minusta on ensiarvoisen tärkeää, että tämän kaltaiset sivustot kääntää (tai ainakin vähintään tarkistaa) todella kielitaitoinen ammattitulkki / käännös ja käännettävän kielen asiantuntija. Olisi eri asia jos kyseessä olisi vaikkapa verkkomainonta.","In my opinion, machine transmission is not suitable in the case where official information is kept to the EU citizens. I think it is of paramount importance that sites like this to translate (or at least check) a truly language professional interpreter / translation and a language expert to be translated. It would be different if it was, for example, online advertising.",language
tanacs,tanacs,understanding
Google translate.,Google translate.,language
"Penso que encontraria mais erros, por falta de perceção de contextos. No entanto, consultaria a versão em inglês para me esclarecer.","I think I would find more mistakes, due to lack of perception of contexts. However, I would consult the English version to clarify me.",language
im studying to be a translator so please don´t replace us with AI :C,im studying to be a translator so please don´t replace us with AI :C,machine translation
"If it was poorly translated as a machine isn't great at detecting minor things that would sound wrong to a native speaker despite being technically correct, plus machines tend to struggle with grammatical forms on occasion","If it was poorly translated as a machine isn't great at detecting minor things that would sound wrong to a native speaker despite being technically correct, plus machines tend to struggle with grammatical forms on occasion",machine translation
Vzbudilo bi mi znatno skepso.,It would be much skeptical of me.,information
não sei,I don't know,nothing
Per velocizzare l'apprendimento in maniera efficace delle notizie più importanti.,To speed up learning effectively on the most important news.,information
Θα με δυσκόλευε,Would make me difficult,content
"Se debe traducir a todas las lenguas, pero la traducción debe ser de calidad.","It debe translates to all the languages, but the translation from being quality.",quality
"I wouldn't completely trust the translation, because I believe there are things that a machine cannot grasp in terms of communication.","I wouldn't completely trust the translation, because I believe there are things that a machine cannot grasp in terms of communication.",machine translation
N´~ao faço ideia;,I have no idea;,language
Intéressant,Interesting,language
unkonkretere Informationen,Unconcred information,information
Nijak,No,nothing
die sollt unbedingt gekennzeichnet sein und ob ich die Seite dann noch nutzen würde?,It should definitely be marked and whether I would still use the page?,machine translation
Noch weniger nähe und noch mehr Arroganz und Abgehobenheit,Even less close and even more arrogance and withdrawal,reliability
Nothing can impact me,Nothing can impact me,machine translation
Content could not be trusted.,Content could not be trusted.,content
The translation might not be that reliable.,The translation might not be that reliable.,human translation
"La traduzione automatizzata accelera l'individuazione delle informazioni necessarie. Purtroppo in alcuni settori meglio quella umana perchè riguarda la traduzione di documenti politici dove le sfumature contano molto, cosa che solo un interprete può cogliere e non ancora un algoritmo allo stato dell'arte attuale","The automated translation accelerates the identification of the necessary information. Unfortunately in some sectors better the human one because it concerns the translation of political documents where shades count a lot, which only an interpreter can grasp and not yet an algorithm at the current state of art",information
Consentirebbe una immediata interazione tra l'utente ed il prodotto,It would allow an immediate interaction between the user and the product,ease of use
"Olyan módon például, hogy a gépi fordításban a szavak jelentése eltérhet az eredeti szövegben szereplő jelentéstől.","For example, in a machine translation, the meaning of words may differ from the meaning in the original text.",machine translation
Nie korzystałabym.,I wouldn't use it.,nothing
Potrei accedere più agilmente ai comunicati stampa,I could access the press releases more easily,information
"Grande impácto, pois deixaria a pesquisa muito mais rápida.","Great impact, as it would make the research much faster.",ease of use
Żaden,No,nothing
No afectaria al modo en que yo lo utilizo,I would not affect the way I use it,nothing
Abgleich mit anderen Informationsquellen zur Verifizierung,Comparative with other sources of information for verification,information
I already use Google's automatic translator on this page,I already use Google's automatic translator on this page,machine translation
"rechtschreibung, etc.","Spelling, etc.",machine translation
.,.,nothing
poco,bit,nothing
Pewnie byłoby niedokładne i z błędami.,It would probably be inaccurate and with mistakes.,machine translation
"Machine translation is not always correct, especially in cases of legal issues that are not consistent across all legal systems.","Machine translation is not always correct, especially in cases of legal issues that are not consistent across all legal systems.",machine translation
"Já utilizo muitas vezes, muito favoravel","I already use it many times, very favorable",ease of use
"Imela bi občutek, da ne-delovnim jezikom ne posvečajo dovolj pozornosti in bi se bala, da ne bi dosledno uporabljali v slovenščino prevedene terminologije. Razumem, da je strojni prevod hiter in učinkovit, bi pa rada videla, da si prevajalci s tem pomagajo in da na koncu pregledajo, kaj je strojni prevod pripravil.","She would have a feeling that they do not pay enough attention to non-working languages ​​and fear that they would not consistently use the terminology translated into Slovene. I understand that the mechanical translation is quick and efficient, but I would like to see that translators help and eventually inspect what the mechanical translation has prepared.",human translation
Czasem nie unikniemy błędów po prostu,Sometimes we won't just avoid mistakes,machine translation
"Kwalitatief minder hoogwaardig, dus voor mijn onderzoek zou ik enkel de officiële taal (hopelijk Engels of Duits) willen (kunnen) raadplegen.","Qualitatively less high -quality, so for my research I would only want to (hopefully English or German) consult the official language.",reliability
Que algunas traducciones no serían fieles,That some translations would not be faithful,human translation
Jag tror att direktöversättningarna skulle vara dåliga,I think direct translations would be bad,human translation
"Les subtilités de chaque langue demandent une traduction plutôt professionnelle, se contenter de google traduction serait une hérésie, mais passer par des outils made in europe aurait beaucoup de sens !","The subtleties of each language require a rather professional translation, being satisfied with Google Translation would be heresy, but going through tools made in Europe would have a lot of sense!",human translation
nijak,no,nothing
"Ik heb dan minder vertrouwen in dat het klopt. Ik vind het prima als de eerste vertaling door AI gedaan wordt, maar laat aub iemand nalopen en eventuele fouten uithalen.","I then have less faith that it is right. I think it's fine if the first translation is made by AI, but please let someone check and remove any mistakes.",reliability
Facilita muito a compreensão e profundidade dos temas,Greatly facilitates the understanding and depth of the topics,understanding
"Tendenzialmente non mi fido dei traduttori automatici. A quel punto preferisco leggere direttamente in lingua originale, anche se sono molto lento.","I tend to do not trust the automatic translators. At that point I prefer to read directly in the original language, even if I am very slow.",language
"Da ich auf Deutsch schneller als auf Englisch oder Französisch lesen kann, würde es mir Zeit kosten, die Dokumente in Originalsprachen zu lesen. Und dies wäre notwendig, weil ansonsten nicht gewährleistet wäre, dass der übersetze Text auch im juristischen Sinne richtig und korrekt ist.","Since I can read faster in German than in English or French, it would take time to read the documents in original languages. And this would be necessary, because otherwise it would not be guaranteed that the translation text is also correct and correct in the legal sense.",language
Okay,Okay,language
reflection if the translation is correct,reflection if the translation is correct,human translation
"pewnie tłumaczenie byłoby gorsze, co utrudniałoby używanie","Probably the translation would be worse, which would make it difficult to use",human translation
"Sunt de parere ca traducerea automata ar fi una de un nivel superficial, neintegrate fiind toate aspectele lingvistice in vederea intelegerii complete si adecvate a informatiei","I think that the automatic translation would be a superficial level, unintegrated being all linguistic aspects in order to completely and adequate information",information
Szybsza poprawa treści,Faster improvement in content,content
Google,Google,language
simple,simple,language
Mitt förtroende för korrektheten skulle minska.,My trust in correctness would decrease.,reliability
"Mauvaise traduction, erreurs","Bad translation, errors",human translation
it is always an unlimited question of trust,it is always an unlimited question of trust,reliability
"Negative, da die maschinellen Übersetzungen aktuell noch zu ungenau sind und sprachliche Feinheiten noch nicht gut genug beherrschen","Negative, since the mechanical translations are currently still too imprecise and linguistic subtleties have not yet mastered well enough",human translation
I will be curious about original language,I will be curious about original language,language
"kontekst tłumaczenia jest ważny, a nie tylko co znaczą poszczególne słowa- zatem zmniejszyłoby częstość korzystania z tłumaczenia na korzyść sięgania do oryginalnych teks†ów","The context of the translation is important, and not only what individual words mean- therefore it would reduce the frequency of using the translation in favor of reaching the original texes",human translation
Seria uma tradução mais descuidada,It would be a more careless translation,human translation
"мешинният превод значително ще влоши качеството на информацията. Моля ви, не го въвеждайте!",Meshin translation will greatly impair the quality of information. Please do not enter it!,quality
make it feel less human,make it feel less human,reliability
negative,negative,quality
"la traduzione automatizzata non è mai così precisa/empatica come la traduzione eseguita da un traduttore in quanto alcune ""sottigliezze"" della varie lingue non vengono colte (piccolo consiglio da una traduttrice/interprete)","The automated translation is never so precise/empathetic as the translation performed by a translator as some ""subtleties"" of the various languages ​​are not caught (small advice from a translator/interpreter)",human translation
"Prawdopodobnie tłumaczenie byłoby gorsze, ponieważ maszyna nie rozumie kontekstu słów, tłumaczy automatycznie ze słownika.","Probably the translation would be worse, because the machine does not understand the context of words, he automatically explains from the dictionary.",machine translation
"ich glaube das daurch, ich nenne es mal, dass ""zuhause gefühl"" verloren geht. Die EU ist besonders, da sie trotz ihrer großen unterschide Inter eine Gemeinsamkeit bildet.","I think that I call it that ""at home feeling"" is lost. The EU is special because, despite its great difference, it forms a common ground.",language
Na język Polski trudno się tłumaczy więc najprawdopodobniej maszyna mogłaby mieć problemy z pewnymi zwrotami. Dla mnie nie ma problemu gdyż potrafię posługiwać się angielskim.,"It is difficult to explain into Polish, so the machine could probably have problems with some phrases. There is no problem for me because I can use English.",machine translation
"Not all words translate similarly, there might be more mistakes","Not all words translate similarly, there might be more mistakes",machine translation
a nyelvi összefüggések érthetősége valószínűleg korlátozódna,The understandability of linguistic relationships would probably be limited,information
"Ubrzalo bi proces čitanja, pripremanja literature, dostupnost literature široj publici.","The process of reading, creating the literature, the availability of the literature would be accelerated to the wider audience.",information
Ich würde auf eine weitere Nutzung der Seite verzichten. Kann eine maschinelle Übersetzung wirklich die Feinheiten der Sprachen wiedergeben?,I would do without further use of the page. Can a machine translation really reproduce the subtleties of the languages?,machine translation
Solamente se impattasse la correttezza della traduzione,Only if the correctness of the translation impact was impactful,human translation
"I would be extremely careful and vigilant about the accuracy of any information posted on the site. There's no denying that the information added to the site would not be systematically checked by a human translator. However, this carries the risk of displaying information with translations that lack subtleties or cultural nuances that only a human translator would be able to identify, understand and translate into another EU language without distorting the meaning of the original message. While machine translation undoubtedly contributes to streamlining and speeding up the publication of public data, I believe there is an increased risk of distorting the meaning of messages. Translations may be too vague or too broad. This would risk multiplying the interpretations that official information would receive across the EU. This would not only undermine public confidence in the EU institutions, but also threaten the coherence of official EU positions and diplomacy between Member States. In conclusion, I sincerely believe that translation should not be 100% machine translation, regardless of the nature of the content being translated. The stakes are too high to risk mistranslation and misinterpretation of official messages.","I would be extremely careful and vigilant about the accuracy of any information posted on the site. There's no denying that the information added to the site would not be systematically checked by a human translator. However, this carries the risk of displaying information with translations that lack subtleties or cultural nuances that only a human translator would be able to identify, understand and translate into another EU language without distorting the meaning of the original message. While machine translation undoubtedly contributes to streamlining and speeding up the publication of public data, I believe there is an increased risk of distorting the meaning of messages. Translations may be too vague or too broad. This would risk multiplying the interpretations that official information would receive across the EU. This would not only undermine public confidence in the EU institutions, but also threaten the coherence of official EU positions and diplomacy between Member States. In conclusion, I sincerely believe that translation should not be 100% machine translation, regardless of the nature of the content being translated. The stakes are too high to risk mistranslation and misinterpretation of official messages.",information
très mauvaise,very bad,nothing
Le texte serait plus difficile à lire si mal traduit. Une traduction automatique avec revue humaine serait l'idéal.,The text would be more difficult to read so badly translated. An automatic translation with human review would be ideal.,human translation
Ich würde mir die Texte genauer anschauen.,I would take a closer look at the texts.,language
"Den skulle bli fullständigt ointressant för mig som översättare. Så som kommissionens webbplats redan har blivit till stora delar. Det jag söker efter är alltid de officiella, korrekta formuleringarna för att korrigera just maskinöversatta segment som ligger till grund för mitt översättningsarbete.","It would be completely uninteresting to me as a translator. As the Commission's website has already become largely. What I am looking for are always the official, correct formulations to correct just machine -translated segments that form the basis for my translation work.",machine translation
Poder usarlo en mi lengua (euskera),Be able to use it in my tongue (Basque),information
weniger Verläßlichkeit,less reliability,reliability
Ich würde die englischsprachige Version der Webseite nutzen.,I would use the English -language version of the website.,language
manque de précision,lack of precision,content
Se ne capirebbe comunque il senso ma credo sia meglio una traduzione non automatica ma controllata dalle persone.,"However, the meaning would be understood but I think a translation is better not automatic but controlled by people.",human translation
"From my previous experience with machine-translated content (in the Commission Website, for example), I can say that the quality of the Website decreases sharply. As a professional, I would like to be assured that the content I consult is properly written and accurately checked by someone.","From my previous experience with machine-translated content (in the Commission Website, for example), I can say that the quality of the Website decreases sharply. As a professional, I would like to be assured that the content I consult is properly written and accurately checked by someone.",content
"Mange maskin oversættelser til Dansk, er så dårlige at indholdet bliver svært at forstå og misforståelser vil blive øget. Somme tider skal man decideret sidde og ""tolke"" hvad teksten betyder, på grund af tvivlsomme oversættelser. Et enkelt forkert ord kan gøre det meget svært.","Many machine translations into Danish are so bad that the content becomes difficult to understand and misunderstandings will be increased. Sometimes one must definitely sit and ""interpret"" what the text means, due to questionable translations. A single wrong word can make it very difficult.",content
Besseres und schnelleres Verständnis über EU-Recht.,Better and faster understanding of EU law.,understanding
National y native,National y native,language
"Tłumaczenie maszynowe, choć mocno rozwijające się, nadal jest bardzo toporne względem tłumaczenia dokonanego przez człowieka. Co więcej, podczas tłumaczenia maszynowego może dość do błędów, nieścisłości - podczas tłumaczenia zawiłych tekstów (zwłaszcza prawnych) bardzo często ginie kontekst użytych słów. Dochodzi więc do licznych przeinaczeń. Ten problem nie występuje, gdy tłumaczenia dokonuje wykwalifikowany tłumacz. AI to wspaniały wynalazek, jednak w obecnym kształcie jeszcze nie nadaje się do tłumaczenia tekstów (zwłaszcza prawnych) na języki mniej popularne, niż angielski (np. polski).","Machine translation, although strongly developing, is still very coarse relative to the translation made by man. What's more, during machine translation, it can quite for errors, inaccuracies - when translating intricate texts (especially legal), the context of the words used very often dies. So there are numerous distortions. This problem does not occur when the translation is made by a qualified translator. AI is a great invention, but in its current shape it is not yet suitable for translating texts (especially legal) into languages ​​less popular than English (e.g. Polish).",human translation
"Priznám sa neviem, ale ten strojový preklad asi nie je 100%-ný aj keď určite sa zlepšuje.","I do not know, but the machine translation is probably not 100%although it certainly improves.",machine translation
"galimi atvejai, kai reikėtų ieškoti pirminio kalbos teksto, jei vertimas būtų prieštaringas",Possible cases where the text of the primary language should be searched if the translation was contradictory,language
Viel,Much,information
Forse la traduzione no sarebbe così fedele e potrebbe essere fuorviante,Perhaps the translation is not so faithful and could be misleading,human translation
In bine.,In good.,nothing
je l'utiliserais plus souvent,I would use it more often,machine translation
"Det ville nok være meget praktisk rent administrativt, men det er en rarere tanker, at det er mennesker, der har gjort det fremfor en maskine","It would probably be very practical purely administrative, but it is a nicer thought that it is people who have done it over a machine",machine translation
precej manj bi ga uporabljala saj so strojni prevod zelo netočni.,It would be much less used as the mechanical translation is very inaccurate.,reliability
Sarebbe più semplice utilizzarlo. Non è una priorità,It would be easier to use it. It is not a priority,ease of use
need to to read in the langage of reference as the main source primarily to avoid current inaccurancies when terms have different acceptations depending on the context and contextualisation inaccurately done,need to to read in the langage of reference as the main source primarily to avoid current inaccurancies when terms have different acceptations depending on the context and contextualisation inaccurately done,machine translation
"Traduções mal feitas e com conceitos indeterminados. Principalmente em Portugal, as traduções seriam certamente feitas para o Português do Brasil, o que seria de uma incoerência extrema e as traduções seriam só terríveis.","Poorly made translations and with indeterminate concepts. Especially in Portugal, the translations would certainly be made to Brazilian Portuguese, which would be extremely inconsistency and translations would be terrible only.",human translation
Negative.,Negative.,quality
Affidabilità,Reliability,reliability
The main reason for visiting the Council website is to find accurate and approved translations of policies and new measures are critical in my work - having unapproved/guessaroo machine translations would make me use the website less and use individual EU country websites looking for translations.,The main reason for visiting the Council website is to find accurate and approved translations of policies and new measures are critical in my work - having unapproved/guessaroo machine translations would make me use the website less and use individual EU country websites looking for translations.,human translation
meno preciso,less precise,reliability
Non sarebbe perfetta e ciò ne risenterebbe e non poco!,It would not be perfect and this would be affected and not a little!,machine translation
não faço ideia,I have no idea,language
Sería útil si es de calidad,It would be useful if it is of quality,quality
"Deixaria certamente de consultar o sítio Web porque não me fiaria dos resultados da tradução automática. O mesmo já me aconteceu com o sítio Web da Comissão. Sempre que uma página está disponível apenas com tradução automática, deixo de a consultar.","I would certainly fail to consult the website because I would not fire the results of automatic translation. The same has happened to me with the Commission website. Whenever a page is available only with automatic translation, I stop consulting it.",human translation
"A magyar nyelv túl összetett ahhoz, hogy a fordítást gép végezze el, azt még az anyanyelvi nyelvhasználók jelentős része sem tudja megfelelően használni.","The Hungarian language is too complex for the translation machine, and even a significant number of native language users cannot use it properly.",language
I am professionally working Visa I know Speak English Electrical Air conditioner 7year experience. Qatar 🇶🇦 I'm from Bangladesh 🇧🇩 Name of Hossain I'm 25 old,I am professionally working Visa I know Speak English Electrical Air conditioner 7year experience. Qatar 🇶🇦 I'm from Bangladesh 🇧🇩 Name of Hossain I'm 25 old,language
LinkedIn,LinkedIn,understanding
"Die maschinelle Übersetzung ist sehr unpräzise, die Bedeutung der Schreibweise ist in allen Sprachen in einem unterschiedlichen Kontext zu betrachten. Dies kann nur durch Personen und nicht durch Maschinen korrigiert werden","The machine translation is very imprecise, the meaning of the spelling is to be viewed in a different context in all languages. This can only be corrected by people and not by machines",machine translation
"Informatiile exacte, xum ar fi documente oficiale, nu ar mai fi de incredere, orice scapare alterind intelesul original.","The exact information, Xum would be official documents, would not be reliable, any escape altering the original meaning.",information
Αρνητικά,Negatively,human translation
Vähentäisi ymmärrettävyyttä ja luotettavuutta,Would reduce understanding and reliability,understanding
presny preklad,Precise translation,human translation
denk van niet,don't think so,nothing
Good,Good,nothing
Ya hay traducción automática. Yo la leo en español,There is already automatic translation. I read it in Spanish,human translation
"La finesse de traduction d’un humain rend la lecture et la compréhension de sujets complexes plus facile.Sur des sujets juridiques, la machine ne peut pas être à la hauteur, il ne s’agit pas d’un site d’éventé en ligne!","The finesse of translation of a human makes reading and understanding complex subjects easier. Sur legal subjects, the machine cannot be up to par, it is not an online site online online !",ease of use
Minder vertrouwen. Een mix kan werken,Less trust. A mix can work,reliability
Agilidade,Agility,ease of use
"mit deutlich weniger Vergnügen, weil ich schrägen Übersetzungen sinnentstellend sein können bzw die Seite insgesamt weniger flüssig lesbar","With significantly less pleasure, because I can be sloping translations in terms of use or the overall side is less fluid.",reliability
It does not lead me to my expectations,It does not lead me to my expectations,understanding
niewielki,small,human translation
asi nijak.,Probably.,information
preferirei una traduzione non automatica e ragionata,I would prefer a non -automatic and reasoned translation,human translation
They don't tend to pick up the nuances of language.,They don't tend to pick up the nuances of language.,language
"teoretycznie tłumacz może nadać większy kontekst, niektórym treściom.","Theoretically, the translator can give a greater context to some content.",content
Ar creşte frecventarea site ului,Would increase the site frequency,information
There's a big risk that a computer wouldn't understand human-based nuances like similes and false cognates.,There's a big risk that a computer wouldn't understand human-based nuances like similes and false cognates.,machine translation
Tento překlad je pro mě přijatelnější,This translation is more acceptable to me,human translation
